txn_id,date,description,amount,category
64,2026-02-09,MAKEMYTRIP BOOKING,19727.36,Travel
65,2026-02-10,NYKAA FASHION,1340.66,Shopping
66,2026-02-10,BESCOM ELECTRICITY,1902.08,Utilities
67,2026-02-11,SPOTIFY PREMIUM,271.89,Entertainment
68,2026-02-11,UBER TRIP HELP.UBER.COM,760.01,Transport
69,2026-02-11,ACT FIBERNET REF#2824,1005.72,Utilities
70,2026-02-12,SPOTIFY PREMIUM,947.71,Entertainment
71,2026-02-13,DMART RETAIL,1938.7,Groceries
72,2026-02-14,FLIPKART INTERNET,3516.5,Shopping
73,2026-02-14,SWIGGY BANGALORE,525.41,Food & Dining
74,2026-02-15,PRACTO CONSULT*13,3713.84,Health
75,2026-02-15,RELIANCE_FRESH,3107.49,Groceries
76,2026-02-15,RAPIDO BIKE TAXI,1414.34,Transport
77,2026-02-16,NETFLIX.COM TXN877572,275.69,Entertainment
78,2026-02-16,NYKAA  FASHION,4506.64,Shopping
79,2026-02-16,ACT FIBERNET,2280.92,Utilities
80,2026-02-16,CULT FIT GYM,2605.79,Health
411,2026-02-16,NESTAWAY PROPERTY,15582.1,Rent & Housing
81,2026-02-17,FLIPKART INTERNET,3684.59,Shopping
82,2026-02-18,BIGBASKET ONLINE*13,817.21,Groceries
83,2026-02-18,ZOMATO ORDER,1088.41,Food & Dining
84,2026-02-18,MYNTRA_DESIGNS,3110.86,Shopping
85,2026-02-18,NETFLIX.COM,162.42,Entertainment
86,2026-02-20,AJIO TRENDS,971.88,Shopping
87,2026-02-21,DMART_RETAIL,1341.28,Groceries
88,2026-02-21,SPOTIFY PREMIUM,1157.76,Entertainment
89,2026-02-21,NESTAWAY_PROPERTY,19043.76,Rent & Housing
90,2026-02-21,AMZN MKTP US*2K3,4276.27,Shopping
91,2026-02-21,BOOKMYSHOW EVENT,1037.78,Entertainment
92,2026-02-22,SWIGGY BANGALORE,391.72,Food & Dining
93,2026-02-22,CCD CAFE COFFEE DAY,368.39,Food & Dining
94,2026-02-23,ZOMATO ORDER REF#2824,734.59,Food & Dining
95,2026-02-23,CCD CAFE COFFEE DAY,641.77,Food & Dining
96,2026-02-23,NETFLIX.COM,413.58,Entertainment
97,2026-02-23,RAPIDO BIKE TAXI,664.08,Transport
98,2026-02-23,PRACTO CONSULT,1266.93,Health
99,2026-02-25,APOLLO PHARMACY,3773.74,Health
100,2026-02-26,BESCOM_ELECTRICITY,2342.3,Utilities
101,2026-02-26,PRACTO CONSULT TXN877572,1827.1,Health
102,2026-02-26,BMTC BUS PASS,871.66,Transport
103,2026-02-27,DMART RETAIL,3023.64,Groceries
104,2026-02-27,RAPIDO BIKE TAXI*13,319.38,Transport
105,2026-02-27,BURGER KING IND,286.44,Food & Dining
106,2026-02-28,BIGBASKET ONLINE,2268.02,Groceries
107,2026-02-28,OLA CABS BANGALORE,891.55,Transport
108,2026-02-28,ZOMATO ORDER,254.09,Food & Dining
109,2026-02-28,NYKAA FASHION,2687.98,Shopping
110,2026-03-01,JIO  FIBER  RECHARGE*13,2082.25,Utilities
111,2026-03-01,SPOTIFY PREMIUM REF#2824,1320.55,Entertainment
112,2026-03-01,AIRBNB STAY,18351.57,Travel
113,2026-03-01,ZEPTO  INSTANT,1936.3,Groceries
114,2026-03-01,AIRTEL_POSTPAID_TXN877572,1403.34,Utilities
115,2026-03-01,FLIPKART INTERNET,4031.82,Shopping
116,2026-03-02,DOMINOS PIZZA,513.14,Food & Dining
117,2026-03-02,1MG_HEALTHCARE,557.13,Health
118,2026-03-02,SPOTIFY PREMIUM,930.68,Entertainment
119,2026-03-02,RAPIDO BIKE TAXI,80.55,Transport
120,2026-03-03,SPOTIFY PREMIUM,947.62,Entertainment
121,2026-03-03,SWIGGY BANGALORE,133.55,Food & Dining
122,2026-03-05,ZEPTO INSTANT,1971.18,Groceries
123,2026-03-05,COURSERA SUBSCRIP TXN877572,11664.91,Education
124,2026-03-06,DMART RETAIL,573.11,Groceries
125,2026-03-07,1MG HEALTHCARE TXN877572,2254.41,Health
126,2026-03-08,BYJUS_LEARNING_TXN877572,6865.09,Education
127,2026-03-08,UBER TRIP HELP.UBER.COM,116.69,Transport
128,2026-03-08,UBER TRIP HELP.UBER.COM,71.55,Transport
129,2026-03-08,AJIO TRENDS*13,4820.71,Shopping
130,2026-03-08,AMZN MKTP US*2K3,4212.7,Shopping
131,2026-03-08,1MG HEALTHCARE,2844.7,Health
132,2026-03-09,APOLLO PHARMACY TXN877572,794.46,Health
133,2026-03-10,HOTSTAR DISNEY,1041.27,Entertainment
134,2026-03-10,MCDONALDS IN,407.93,Food & Dining
135,2026-03-11,STARBUCKS COFFEE,372.5,Food & Dining
136,2026-03-11,CCD CAFE COFFEE DAY,491.57,Food & Dining
137,2026-03-11,DOMINOS PIZZA,933.63,Food & Dining
138,2026-03-11,COURSERA SUBSCRIP,708.71,Education
139,2026-03-14,AJIO TRENDS TXN877572,2476.03,Shopping
140,2026-03-14,COURSERA SUBSCRIP,1918.6,Education
141,2026-03-15,PESU FEE PAYMENT,6278.32,Education
142,2026-03-15,REDBUS TICKET,12701.15,Travel
143,2026-03-15,BOOKMYSHOW EVENT,1007.38,Entertainment
144,2026-03-17,RELIANCE FRESH,3040.77,Groceries
145,2026-03-17,AJIO TRENDS,3361.73,Shopping
146,2026-03-18,SWIGGY BANGALORE,806.66,Food & Dining
412,2026-03-18,NESTAWAY PROPERTY,11147.26,Rent & Housing
147,2026-03-20,HOUSING RENT NEFT,18935.9,Rent & Housing
148,2026-03-20,FLIPKART INTERNET,2399.61,Shopping
149,2026-03-20,BESCOM ELECTRICITY,1500.36,Utilities
150,2026-03-21,ZEPTO  INSTANT,622.49,Groceries
151,2026-03-21,JIO FIBER RECHARGE,340.09,Utilities
152,2026-03-21,UBER TRIP HELP.UBER.COM TXN877572,130.28,Transport
153,2026-03-21,BIGBASKET ONLINE,2485.62,Groceries
154,2026-03-21,FLIPKART INTERNET REF#2824,541.71,Shopping
155,2026-03-22,BWSSB WATER BOARD,2091.83,Utilities
156,2026-03-22,BIGBASKET ONLINE,1201.94,Groceries
157,2026-03-24,MYNTRA DESIGNS,1051.71,Shopping
158,2026-03-24,MYNTRA DESIGNS,3802.95,Shopping
159,2026-03-24,MYNTRA DESIGNS,4072.81,Shopping
160,2026-03-24,CULT FIT GYM*13,3963.92,Health
161,2026-03-24,REDBUS TICKET,8839.74,Travel
162,2026-03-25,ZOMATO ORDER,1123.83,Food & Dining
163,2026-03-25,AIRTEL POSTPAID,2188.51,Utilities
164,2026-03-26,NYKAA_FASHION,4532.25,Shopping
165,2026-03-26,FLIPKART INTERNET,2625.21,Shopping
166,2026-03-26,MYNTRA DESIGNS REF#2824,4167.0,Shopping
167,2026-03-27,1MG  HEALTHCARE,241.18,Health
168,2026-03-27,BOOKMYSHOW EVENT,6325.78,Entertainment
169,2026-03-28,MYNTRA DESIGNS,4760.3,Shopping
170,2026-03-29,BWSSB WATER BOARD,1779.54,Utilities
171,2026-03-29,UBER TRIP HELP.UBER.COM,689.52,Transport
172,2026-03-29,SWIGGY  BANGALORE,970.74,Food & Dining
173,2026-03-29,DOMINOS PIZZA,968.58,Food & Dining
174,2026-03-29,FLIPKART INTERNET,637.79,Shopping
175,2026-03-30,PESU FEE PAYMENT,8468.17,Education
176,2026-03-31,MORE SUPERMARKET,757.57,Groceries
177,2026-03-31,BESCOM ELECTRICITY TXN877572,1975.32,Utilities
178,2026-03-31,APOLLO PHARMACY,2549.23,Health
179,2026-04-03,SPOTIFY PREMIUM,1259.51,Entertainment
180,2026-04-04,BMTC BUS PASS,888.64,Transport
181,2026-04-04,HOTSTAR DISNEY,655.27,Entertainment
182,2026-04-05,OLA  CABS  BANGALORE,710.57,Transport
183,2026-04-05,HOTSTAR DISNEY*13,903.85,Entertainment
184,2026-04-05,AMZN MKTP US*2K3,2236.27,Shopping
185,2026-04-05,STARBUCKS COFFEE,1096.99,Food & Dining
186,2026-04-05,AMZN MKTP US*2K3,733.75,Shopping
187,2026-04-05,CCD CAFE COFFEE DAY TXN877572,641.89,Food & Dining
188,2026-04-07,STARBUCKS COFFEE,230.7,Food & Dining
189,2026-04-09,RAPIDO BIKE TAXI,292.86,Transport
190,2026-04-09,ACT FIBERNET,2210.92,Utilities
191,2026-04-09,CULT FIT GYM,1049.66,Health
192,2026-04-09,DMART RETAIL TXN877572,3382.31,Groceries
193,2026-04-11,CCD CAFE COFFEE DAY,1192.26,Food & Dining
194,2026-04-11,IRCTC RAIL TICKET,112.73,Transport
195,2026-04-11,AMZN MKTP US*2K3,2858.5,Shopping
196,2026-04-12,CCD CAFE COFFEE DAY TXN877572,409.06,Food & Dining
197,2026-04-12,HOTSTAR DISNEY,1433.06,Entertainment
198,2026-04-12,APOLLO PHARMACY,3583.0,Health
199,2026-04-12,CCD CAFE COFFEE DAY,601.22,Food & Dining
200,2026-04-12,CCD CAFE COFFEE DAY TXN877572,782.15,Food & Dining
201,2026-04-12,STARBUCKS COFFEE,405.12,Food & Dining
202,2026-04-12,MORE SUPERMARKET,901.99,Groceries
203,2026-04-12,NETFLIX.COM,775.99,Entertainment
204,2026-04-13,MYNTRA_DESIGNS,4877.1,Shopping
205,2026-04-13,ACT FIBERNET,2469.66,Utilities
206,2026-04-14,MAKEMYTRIP BOOKING,16462.11,Travel
207,2026-04-14,PVR CINEMAS*13,1074.39,Entertainment
208,2026-04-15,STARBUCKS COFFEE,1144.78,Food & Dining
209,2026-04-15,BURGER KING IND,898.29,Food & Dining
210,2026-04-16,RELIANCE FRESH,384.37,Groceries
211,2026-04-16,MYNTRA DESIGNS,2007.02,Shopping
212,2026-04-16,UDEMY COURSE PAY,12253.02,Education
213,2026-04-16,RAPIDO BIKE TAXI,889.18,Transport
214,2026-04-17,CCD CAFE COFFEE DAY,518.98,Food & Dining
215,2026-04-18,ZEPTO  INSTANT  REF#2824,3067.11,Groceries
216,2026-04-18,BURGER KING IND,994.19,Food & Dining
217,2026-04-18,HOTSTAR DISNEY,1499.62,Entertainment
218,2026-04-18,AIRBNB_STAY*13,19936.1,Travel
219,2026-04-18,HOTSTAR_DISNEY,899.83,Entertainment
220,2026-04-18,BURGER KING IND*13,945.89,Food & Dining
413,2026-04-18,NESTAWAY PROPERTY,17212.32,Rent & Housing
221,2026-04-19,BMTC BUS PASS,860.94,Transport
222,2026-04-19,HOUSING RENT NEFT,18304.97,Rent & Housing
223,2026-04-19,SWIGGY BANGALORE TXN877572,351.51,Food & Dining
224,2026-04-19,ACT FIBERNET REF#2824,1777.74,Utilities
225,2026-04-20,BMTC BUS PASS,620.84,Transport
226,2026-04-20,HOTSTAR DISNEY,852.42,Entertainment
227,2026-04-21,CCD CAFE COFFEE DAY TXN877572,1064.32,Food & Dining
228,2026-04-21,NOBROKER RENT PAY*13,14859.21,Rent & Housing
229,2026-04-21,ZEPTO INSTANT TXN877572,728.85,Groceries
230,2026-04-21,IRCTC RAIL TICKET,74.47,Transport
231,2026-04-22,ACT FIBERNET,600.02,Utilities
232,2026-04-22,DMART RETAIL,346.54,Groceries
233,2026-04-22,GOIBIBO FLIGHT,7661.16,Travel
234,2026-04-23,BMTC BUS PASS,818.53,Transport
235,2026-04-23,OLA CABS BANGALORE REF#2824,346.02,Transport
236,2026-04-24,NESTAWAY PROPERTY TXN877572,22660.18,Rent & Housing
237,2026-04-24,AIRBNB STAY TXN877572,19040.89,Travel
238,2026-04-24,SPOTIFY PREMIUM,348.55,Entertainment
239,2026-04-25,BOOKMYSHOW EVENT,593.81,Entertainment
240,2026-04-25,PRACTO CONSULT*13,2606.92,Health
241,2026-04-25,UDEMY COURSE PAY*13,3982.11,Education
242,2026-04-25,AJIO TRENDS,564.14,Shopping
243,2026-04-25,BIGBASKET ONLINE TXN877572,712.42,Groceries
244,2026-04-26,AIRBNB STAY REF#2824,3637.72,Travel
245,2026-04-27,AIRTEL POSTPAID REF#2824,1060.47,Utilities
246,2026-04-28,CULT FIT GYM,3394.23,Health
247,2026-04-28,CCD_CAFE_COFFEE_DAY,144.96,Food & Dining
248,2026-04-28,ZOMATO ORDER,285.83,Food & Dining
249,2026-04-29,CULT FIT GYM,537.07,Health
250,2026-05-01,JIO FIBER RECHARGE TXN877572,1101.39,Utilities
251,2026-05-02,CCD CAFE COFFEE DAY,979.35,Food & Dining
252,2026-05-02,BMTC BUS PASS,583.72,Transport
253,2026-05-03,MYNTRA DESIGNS,1529.01,Shopping
254,2026-05-03,ZEPTO INSTANT,2879.84,Groceries
255,2026-05-03,STARBUCKS COFFEE,923.09,Food & Dining
256,2026-05-04,AJIO_TRENDS,1978.27,Shopping
257,2026-05-05,BURGER KING IND,608.79,Food & Dining
258,2026-05-05,NYKAA FASHION TXN877572,3787.86,Shopping
259,2026-05-07,BIGBASKET ONLINE*13,2002.76,Groceries
260,2026-05-07,AJIO TRENDS,714.43,Shopping
261,2026-05-07,BLINKIT GROCERY,1731.72,Groceries
262,2026-05-08,OLA_CABS_BANGALORE,278.86,Transport
263,2026-05-09,BLINKIT GROCERY TXN877572,1330.65,Groceries
264,2026-05-10,PVR CINEMAS,1352.21,Entertainment
265,2026-05-10,UDEMY COURSE PAY,9107.09,Education
266,2026-05-11,COURSERA SUBSCRIP,8288.04,Education
267,2026-05-11,ZEPTO INSTANT,2177.89,Groceries
268,2026-05-11,DOMINOS PIZZA,919.98,Food & Dining
269,2026-05-12,RAPIDO BIKE TAXI,291.21,Transport
270,2026-05-13,BOOKMYSHOW EVENT,630.73,Entertainment
271,2026-05-13,RELIANCE FRESH,3456.85,Groceries
272,2026-05-14,AMZN MKTP US*2K3,933.72,Shopping
273,2026-05-14,AMZN MKTP US*2K3,1380.6,Shopping
274,2026-05-15,MORE SUPERMARKET,1212.3,Groceries
275,2026-05-16,HOTSTAR DISNEY REF#2824,858.09,Entertainment
276,2026-05-16,NETFLIX.COM,704.04,Entertainment
414,2026-05-16,NOBROKER RENT PAY,22840.08,Rent & Housing
277,2026-05-17,BMTC BUS PASS,269.22,Transport
278,2026-05-17,AJIO_TRENDS,1020.26,Shopping
279,2026-05-17,NYKAA FASHION*13,3409.49,Shopping
280,2026-05-17,OLA CABS BANGALORE,839.97,Transport
281,2026-05-17,MYNTRA DESIGNS REF#2824,2872.46,Shopping
282,2026-05-18,PESU FEE PAYMENT,3212.13,Education
283,2026-05-18,MCDONALDS IN,456.05,Food & Dining
284,2026-05-19,COURSERA SUBSCRIP,2165.13,Education
285,2026-05-19,APOLLO PHARMACY,2520.36,Health
286,2026-05-20,DMART RETAIL,1839.65,Groceries
287,2026-05-20,IRCTC RAIL TICKET,502.7,Transport
288,2026-05-22,BIGBASKET ONLINE,502.8,Groceries
289,2026-05-23,DMART RETAIL,1809.04,Groceries
290,2026-05-23,RELIANCE FRESH,1617.89,Groceries
291,2026-05-23,BIGBASKET  ONLINE,1416.38,Groceries
292,2026-05-23,NYKAA FASHION TXN877572,4661.74,Shopping
293,2026-05-23,BLINKIT GROCERY*13,2957.98,Groceries
294,2026-05-23,MYNTRA DESIGNS TXN877572,4832.13,Shopping
295,2026-05-24,GOIBIBO_FLIGHT,2263.43,Travel
296,2026-05-24,CULT FIT GYM,3016.26,Health
297,2026-05-24,NESTAWAY PROPERTY,17766.04,Rent & Housing
298,2026-05-25,OLA CABS BANGALORE,725.98,Transport
299,2026-05-26,BMTC BUS PASS,189.63,Transport
300,2026-05-27,PVR CINEMAS,1334.22,Entertainment
301,2026-05-27,NYKAA_FASHION,2083.74,Shopping
302,2026-05-27,FLIPKART INTERNET,4119.68,Shopping
303,2026-05-28,NYKAA FASHION,1646.61,Shopping
304,2026-05-28,NYKAA_FASHION,3788.53,Shopping
305,2026-05-29,AIRBNB STAY,18091.92,Travel
306,2026-05-30,GOIBIBO FLIGHT,18856.81,Travel
307,2026-05-30,RAPIDO BIKE TAXI,583.55,Transport
308,2026-05-30,AIRTEL POSTPAID,1036.79,Utilities
309,2026-05-30,STARBUCKS COFFEE,253.2,Food & Dining
310,2026-05-31,ZOMATO ORDER,442.89,Food & Dining
311,2026-05-31,IRCTC RAIL TICKET,261.22,Transport
312,2026-05-31,JIO FIBER RECHARGE,1936.68,Utilities
313,2026-05-31,MORE SUPERMARKET,407.3,Groceries
314,2026-05-31,NYKAA FASHION*13,2935.47,Shopping
315,2026-06-01,HOUSING RENT NEFT,22389.69,Rent & Housing
316,2026-06-01,ZEPTO INSTANT,707.96,Groceries
317,2026-06-01,FLIPKART INTERNET,2106.98,Shopping
318,2026-06-01,CCD CAFE COFFEE DAY,977.02,Food & Dining
319,2026-06-02,BIGBASKET ONLINE,2611.21,Groceries
320,2026-06-03,STARBUCKS COFFEE,480.27,Food & Dining
321,2026-06-03,FLIPKART INTERNET,1071.67,Shopping
322,2026-06-03,STARBUCKS COFFEE,1099.3,Food & Dining
323,2026-06-03,COURSERA SUBSCRIP,8959.18,Education
324,2026-06-04,REDBUS TICKET TXN877572,12138.37,Travel
325,2026-06-04,BIGBASKET ONLINE,1918.84,Groceries
326,2026-06-04,RELIANCE FRESH,2256.65,Groceries
327,2026-06-06,MYNTRA DESIGNS,3112.23,Shopping
328,2026-06-06,AIRTEL POSTPAID,1233.09,Utilities
329,2026-06-06,SPOTIFY PREMIUM,1144.2,Entertainment
330,2026-06-06,AMZN MKTP US*2K3,4684.96,Shopping
331,2026-06-06,DMART RETAIL,3261.82,Groceries
332,2026-06-06,PESU FEE PAYMENT,7037.17,Education
333,2026-06-06,ZEPTO INSTANT,662.36,Groceries
334,2026-06-07,PESU FEE PAYMENT,6285.54,Education
335,2026-06-07,DMART RETAIL TXN877572,475.24,Groceries
336,2026-06-07,NYKAA FASHION,1808.95,Shopping
337,2026-06-07,HOTSTAR DISNEY,1233.85,Entertainment
338,2026-06-07,UDEMY COURSE PAY,567.16,Education
339,2026-06-07,OLA CABS BANGALORE,333.47,Transport
340,2026-06-08,BWSSB WATER BOARD,1063.3,Utilities
341,2026-06-08,DOMINOS PIZZA,911.25,Food & Dining
342,2026-06-08,BIGBASKET  ONLINE  TXN877572,1747.1,Groceries
343,2026-06-09,MCDONALDS  IN,254.94,Food & Dining
344,2026-06-10,MYNTRA DESIGNS TXN877572,2210.84,Shopping
345,2026-06-11,BWSSB WATER BOARD,328.81,Utilities
346,2026-06-11,HOUSING RENT NEFT,19280.14,Rent & Housing
347,2026-06-11,JIO FIBER RECHARGE,691.68,Utilities
348,2026-06-12,SPOTIFY PREMIUM,265.22,Entertainment
349,2026-06-12,BWSSB WATER BOARD,2493.12,Utilities
350,2026-06-13,ZOMATO ORDER,924.96,Food & Dining
351,2026-06-13,UDEMY  COURSE  PAY  REF#2824,3543.63,Education
352,2026-06-14,BESCOM ELECTRICITY,1338.55,Utilities
353,2026-06-14,BURGER KING IND,721.33,Food & Dining
354,2026-06-14,PESU FEE PAYMENT,1452.78,Education
355,2026-06-15,DMART RETAIL,1582.44,Groceries
356,2026-06-15,COURSERA_SUBSCRIP,8614.78,Education
357,2026-06-15,ACT FIBERNET,641.53,Utilities
358,2026-06-16,STARBUCKS COFFEE TXN877572,397.82,Food & Dining
359,2026-06-16,DOMINOS PIZZA,808.4,Food & Dining
360,2026-06-16,ZOMATO ORDER*13,549.61,Food & Dining
415,2026-06-16,HOUSING  RENT  NEFT  TXN877572,20447.82,Rent & Housing
361,2026-06-18,APOLLO PHARMACY,2703.91,Health
362,2026-06-20,ACT FIBERNET,529.04,Utilities
363,2026-06-20,HOTSTAR DISNEY,1229.89,Entertainment
364,2026-06-20,UDEMY COURSE PAY,3088.9,Education
365,2026-06-21,REDBUS TICKET,5620.27,Travel
366,2026-06-21,MORE SUPERMARKET,2611.25,Groceries
367,2026-06-22,BLINKIT GROCERY,1238.07,Groceries
368,2026-06-22,PVR CINEMAS,1360.05,Entertainment
369,2026-06-22,DMART RETAIL,341.61,Groceries
370,2026-06-22,FLIPKART INTERNET,610.44,Shopping
371,2026-06-23,MYNTRA DESIGNS,1070.89,Shopping
372,2026-06-24,BOOKMYSHOW EVENT,500.22,Entertainment
373,2026-06-24,OLA CABS BANGALORE,372.74,Transport
374,2026-06-24,APOLLO PHARMACY,2443.12,Health
375,2026-06-24,ZEPTO INSTANT REF#2824,1157.8,Groceries
376,2026-06-25,BMTC BUS PASS,300.3,Transport
377,2026-06-25,STARBUCKS COFFEE,1143.3,Food & Dining
378,2026-06-25,BWSSB  WATER  BOARD  REF#2824,1979.93,Utilities
379,2026-06-26,IRCTC RAIL TICKET*13,464.32,Transport
380,2026-06-27,NYKAA FASHION,1489.65,Shopping
381,2026-06-27,APOLLO PHARMACY,2258.21,Health
382,2026-06-27,OLA CABS BANGALORE,588.46,Transport
383,2026-06-28,UBER TRIP HELP.UBER.COM,886.74,Transport
384,2026-06-28,ACT FIBERNET TXN877572,1456.52,Utilities
385,2026-06-29,BLINKIT GROCERY,358.85,Groceries
386,2026-06-30,ZOMATO ORDER,734.17,Food & Dining
387,2026-07-01,PESU FEE PAYMENT,12531.26,Education
388,2026-07-01,ACT FIBERNET,754.13,Utilities
389,2026-07-03,BESCOM ELECTRICITY,2222.56,Utilities
390,2026-07-04,BIGBASKET ONLINE,1526.04,Groceries
391,2026-07-04,AIRBNB STAY,10859.44,Travel
392,2026-07-04,BLINKIT GROCERY,450.29,Groceries
393,2026-07-04,STARBUCKS COFFEE,282.91,Food & Dining
394,2026-07-04,CCD CAFE COFFEE DAY,911.84,Food & Dining
395,2026-07-05,MCDONALDS IN,528.23,Food & Dining
396,2026-07-05,DOMINOS PIZZA,417.56,Food & Dining
397,2026-07-06,BIGBASKET ONLINE,2112.49,Groceries
398,2026-07-06,RELIANCE FRESH,1823.36,Groceries
399,2026-07-07,BLINKIT GROCERY,399.79,Groceries
400,2026-07-07,DMART RETAIL,1139.24,Groceries
401,2026-07-07,PVR CINEMAS,953.36,Entertainment
420,2026-07-07,BURGER KING IND,1074.77,Food & Dining
417,2026-07-08,DOMINOS PIZZA,1361.15,Food & Dining
402,2026-07-09,RAPIDO_BIKE_TAXI,705.28,Transport
403,2026-07-09,IRCTC RAIL TICKET,140.61,Transport
419,2026-07-10,SWIGGY BANGALORE,1494.44,Food & Dining
404,2026-07-11,GOIBIBO FLIGHT,16562.94,Travel
405,2026-07-11,RELIANCE FRESH*13,2858.13,Groceries
406,2026-07-11,OLA CABS BANGALORE,640.49,Transport
407,2026-07-11,STARBUCKS COFFEE,399.36,Food & Dining
418,2026-07-11,CCD CAFE COFFEE DAY,1384.59,Food & Dining
408,2026-07-12,RAPIDO BIKE TAXI,829.72,Transport
409,2026-07-12,CULT FIT GYM TXN877572,719.91,Health
416,2026-07-17,NESTAWAY PROPERTY,21711.54,Rent & Housing
421,2026-07-13,naturals,200.0,Food & Dining
