txn_id,date,description,amount,category,type
228,2026-07-02,COURSERA SUBSCRIP*13,13211.48,Education,Expense
229,2026-07-02,ZEPTO INSTANT TXN877572,1591.15,Groceries,Expense
230,2026-07-02,IRCTC RAIL TICKET,163.91,Transport,Expense
231,2026-07-04,ACT FIBERNET,332.0,Utilities,Expense
232,2026-07-04,FLIPKART INTERNET,1882.82,Shopping,Expense
233,2026-07-04,FREELANCE PAYOUT,87193.41,Income,Income
234,2026-07-04,BMTC BUS PASS,383.41,Transport,Expense
235,2026-07-05,OLA CABS BANGALORE REF#2824,578.77,Transport,Expense
236,2026-07-05,BYJUS LEARNING,13004.27,Education,Expense
237,2026-07-05,MYNTRA DESIGNS TXN877572,4757.7,Shopping,Expense
238,2026-07-05,PRACTO CONSULT,758.88,Health,Expense
239,2026-07-05,BOOKMYSHOW EVENT,1400.89,Entertainment,Expense
240,2026-07-06,PRACTO CONSULT*13,1944.72,Health,Expense
241,2026-07-07,UDEMY COURSE PAY*13,3982.11,Education,Expense
242,2026-07-07,RAPIDO BIKE TAXI,114.48,Transport,Expense
243,2026-07-07,BIGBASKET ONLINE TXN877572,712.42,Groceries,Expense
244,2026-07-09,DIVIDEND ACH REF#2824,91269.98,Income,Income
245,2026-07-10,AIRTEL POSTPAID REF#2824,2272.93,Utilities,Expense
246,2026-07-11,CULT FIT GYM,1295.77,Health,Expense
247,2026-07-11,CCD_CAFE_COFFEE_DAY,285.83,Food & Dining,Expense
248,2026-07-11,ZOMATO ORDER,406.45,Food & Dining,Expense
249,2026-07-12,CULT FIT GYM,658.42,Health,Expense
250,2026-07-13,PVR CINEMAS TXN877572,641.76,Entertainment,Expense
251,2026-07-14,CCD CAFE COFFEE DAY,979.35,Food & Dining,Expense
252,2026-07-14,BMTC BUS PASS,583.72,Transport,Expense
253,2026-07-16,MYNTRA DESIGNS,1529.01,Shopping,Expense
254,2026-07-16,ZEPTO INSTANT,2879.84,Groceries,Expense
255,2026-07-17,STARBUCKS COFFEE,507.52,Food & Dining,Expense
256,2026-07-17,AJIO_TRENDS,2525.71,Shopping,Expense
257,2026-07-18,DMART RETAIL,1107.8,Groceries,Expense
258,2026-07-18,CULT FIT GYM*13,2910.73,Health,Expense
259,2026-07-18,NOBROKER RENT PAY*13,23218.52,Rent & Housing,Expense
260,2026-07-18,AJIO TRENDS,2656.05,Shopping,Expense
261,2026-07-19,NYKAA FASHION,2756.56,Shopping,Expense
262,2026-07-19,OLA_CABS_BANGALORE,256.1,Transport,Expense
263,2026-07-20,BLINKIT GROCERY TXN877572,364.23,Groceries,Expense
264,2026-07-21,PVR CINEMAS,592.12,Entertainment,Expense
265,2026-07-23,MAKEMYTRIP BOOKING,11205.02,Travel,Expense
266,2026-07-23,GOIBIBO FLIGHT,12149.98,Travel,Expense
267,2026-07-23,ZEPTO INSTANT,2685.41,Groceries,Expense
268,2026-07-23,DOMINOS PIZZA,574.83,Food & Dining,Expense
269,2026-07-23,RAPIDO BIKE TAXI,158.44,Transport,Expense
270,2026-07-24,BOOKMYSHOW EVENT,1021.99,Entertainment,Expense
271,2026-07-25,RELIANCE FRESH,625.7,Groceries,Expense
272,2026-07-25,AMZN MKTP US*2K3,933.72,Shopping,Expense
273,2026-07-25,AMZN MKTP US*2K3,1380.6,Shopping,Expense
274,2026-07-25,MORE SUPERMARKET,814.18,Groceries,Expense
275,2026-07-26,PRACTO CONSULT,3607.71,Health,Expense
276,2026-07-26,MYNTRA DESIGNS,585.12,Shopping,Expense
277,2026-07-27,SWIGGY BANGALORE,537.64,Food & Dining,Expense
278,2026-07-27,RAPIDO BIKE TAXI,874.05,Transport,Expense
279,2026-07-27,NYKAA FASHION*13,4354.43,Shopping,Expense
280,2026-07-28,OLA CABS BANGALORE,618.35,Transport,Expense
281,2026-07-28,IRCTC RAIL TICKET REF#2824,839.97,Transport,Expense
426,2026-07-28,NETFLIX.COM,649.0,Entertainment,Expense
427,2026-07-28,SPOTIFY PREMIUM,119.0,Entertainment,Expense
282,2026-07-29,AIRBNB STAY,15620.37,Travel,Expense
283,2026-07-29,MCDONALDS IN,305.75,Food & Dining,Expense
415,2026-07-29,HOUSING  RENT  NEFT  TXN877572,21711.54,Rent & Housing,Expense
284,2026-07-30,GOIBIBO FLIGHT,5605.78,Travel,Expense
285,2026-07-30,NESTAWAY  PROPERTY,9952.23,Rent & Housing,Expense
286,2026-07-31,PVR CINEMAS,358.39,Entertainment,Expense
287,2026-07-31,NYKAA FASHION,2509.47,Shopping,Expense
288,2026-08-01,CULT FIT GYM,1479.1,Health,Expense
289,2026-08-02,AJIO TRENDS,4951.81,Shopping,Expense
290,2026-08-03,DIVIDEND ACH TXN877572,94520.22,Income,Income
291,2026-08-03,RELIANCE FRESH,2732.73,Groceries,Expense
292,2026-08-04,RELIANCE FRESH,1416.38,Groceries,Expense
293,2026-08-04,1MG HEALTHCARE,3732.21,Health,Expense
294,2026-08-05,MYNTRA DESIGNS TXN877572,3708.16,Shopping,Expense
295,2026-08-05,GOIBIBO_FLIGHT,18828.47,Travel,Expense
296,2026-08-06,NESTAWAY  PROPERTY  TXN877572,20599.05,Rent & Housing,Expense
297,2026-08-07,NESTAWAY PROPERTY,21519.54,Rent & Housing,Expense
298,2026-08-07,OLA CABS BANGALORE,221.38,Transport,Expense
299,2026-08-08,BMTC BUS PASS,742.39,Transport,Expense
300,2026-08-09,1MG HEALTHCARE,1632.39,Health,Expense
301,2026-08-09,BMTC_BUS_PASS,443.28,Transport,Expense
302,2026-08-09,OLA CABS BANGALORE,306.17,Transport,Expense
303,2026-08-09,NYKAA FASHION,3788.53,Shopping,Expense
304,2026-08-09,NYKAA_FASHION,2613.06,Shopping,Expense
305,2026-08-09,AIRBNB STAY,5412.04,Travel,Expense
306,2026-08-10,GOIBIBO FLIGHT,3221.06,Travel,Expense
307,2026-08-10,RAPIDO BIKE TAXI,848.86,Transport,Expense
308,2026-08-10,SPOTIFY PREMIUM,997.41,Entertainment,Expense
309,2026-08-10,BLINKIT GROCERY,1371.7,Groceries,Expense
310,2026-08-11,ZOMATO ORDER,782.08,Food & Dining,Expense
311,2026-08-12,IRCTC RAIL TICKET,314.96,Transport,Expense
312,2026-08-12,JIO FIBER RECHARGE,846.68,Utilities,Expense
313,2026-08-12,MORE SUPERMARKET,2680.63,Groceries,Expense
314,2026-08-14,NYKAA FASHION*13,4142.04,Shopping,Expense
315,2026-08-14,BYJUS LEARNING,2104.16,Education,Expense
316,2026-08-14,ZEPTO INSTANT,3008.65,Groceries,Expense
317,2026-08-15,FLIPKART INTERNET,1300.41,Shopping,Expense
318,2026-08-15,CCD CAFE COFFEE DAY,894.48,Food & Dining,Expense
319,2026-08-15,BIGBASKET ONLINE,2604.12,Groceries,Expense
320,2026-08-16,STARBUCKS COFFEE,299.76,Food & Dining,Expense
321,2026-08-16,FLIPKART INTERNET,4560.56,Shopping,Expense
322,2026-08-16,STARBUCKS COFFEE,741.73,Food & Dining,Expense
323,2026-08-16,COURSERA SUBSCRIP,6312.35,Education,Expense
324,2026-08-17,CASH DEPOSIT TXN877572,86898.39,Income,Income
325,2026-08-17,BIGBASKET ONLINE,1918.84,Groceries,Expense
326,2026-08-18,RELIANCE FRESH,3090.8,Groceries,Expense
327,2026-08-19,IRCTC RAIL TICKET,539.85,Transport,Expense
328,2026-08-19,AIRTEL POSTPAID,1634.77,Utilities,Expense
329,2026-08-19,SPOTIFY PREMIUM,722.58,Entertainment,Expense
330,2026-08-19,UBER TRIP HELP.UBER.COM,675.98,Transport,Expense
331,2026-08-19,DMART RETAIL,3289.97,Groceries,Expense
332,2026-08-20,AIRBNB STAY,19711.98,Travel,Expense
333,2026-08-20,ZEPTO INSTANT,2984.47,Groceries,Expense
334,2026-08-22,PESU FEE PAYMENT,5360.36,Education,Expense
335,2026-08-22,DMART RETAIL TXN877572,2869.13,Groceries,Expense
336,2026-08-22,NYKAA FASHION,222.23,Shopping,Expense
337,2026-08-22,HOTSTAR DISNEY,600.22,Entertainment,Expense
338,2026-08-22,UDEMY COURSE PAY,6273.45,Education,Expense
339,2026-08-23,OLA CABS BANGALORE,240.91,Transport,Expense
340,2026-08-23,BOOKMYSHOW EVENT,760.79,Entertainment,Expense
341,2026-08-23,DOMINOS PIZZA,254.94,Food & Dining,Expense
342,2026-08-23,BIGBASKET  ONLINE  TXN877572,864.44,Groceries,Expense
343,2026-08-23,MCDONALDS  IN,648.2,Food & Dining,Expense
344,2026-08-24,MYNTRA DESIGNS TXN877572,3234.87,Shopping,Expense
345,2026-08-24,BWSSB WATER BOARD,328.81,Utilities,Expense
346,2026-08-24,BYJUS LEARNING,10121.29,Education,Expense
347,2026-08-25,JIO FIBER RECHARGE,1212.17,Utilities,Expense
348,2026-08-25,SPOTIFY PREMIUM,265.22,Entertainment,Expense
349,2026-08-26,BOOKMYSHOW EVENT,1162.45,Entertainment,Expense
350,2026-08-26,ZOMATO ORDER,330.9,Food & Dining,Expense
351,2026-08-26,UDEMY  COURSE  PAY  REF#2824,13521.79,Education,Expense
352,2026-08-27,BESCOM ELECTRICITY,380.41,Utilities,Expense
428,2026-08-27,NETFLIX.COM,649.0,Entertainment,Expense
429,2026-08-27,SPOTIFY PREMIUM,119.0,Entertainment,Expense
353,2026-08-28,BIGBASKET ONLINE,2781.69,Groceries,Expense
354,2026-08-28,PVR CINEMAS,761.94,Entertainment,Expense
355,2026-08-29,DMART RETAIL,882.17,Groceries,Expense
356,2026-08-29,GOIBIBO_FLIGHT,17373.93,Travel,Expense
357,2026-08-29,ACT FIBERNET,2381.45,Utilities,Expense
358,2026-08-29,STARBUCKS COFFEE TXN877572,510.64,Food & Dining,Expense
416,2026-08-29,NESTAWAY PROPERTY,19199.32,Rent & Housing,Expense
359,2026-08-30,DOMINOS PIZZA,271.77,Food & Dining,Expense
360,2026-08-30,ZOMATO ORDER*13,887.57,Food & Dining,Expense
361,2026-08-30,NOBROKER RENT PAY,19201.71,Rent & Housing,Expense
362,2026-09-01,ACT FIBERNET,1778.16,Utilities,Expense
363,2026-09-04,HOTSTAR DISNEY,471.55,Entertainment,Expense
364,2026-09-04,MAKEMYTRIP BOOKING,2889.39,Travel,Expense
365,2026-09-05,CASH DEPOSIT,63451.82,Income,Income
366,2026-09-05,MORE SUPERMARKET,3168.27,Groceries,Expense
367,2026-09-05,BLINKIT GROCERY,341.61,Groceries,Expense
368,2026-09-05,PVR CINEMAS,265.44,Entertainment,Expense
369,2026-09-05,DMART RETAIL,965.24,Groceries,Expense
370,2026-09-05,FLIPKART INTERNET,327.35,Shopping,Expense
371,2026-09-06,MYNTRA DESIGNS,1445.23,Shopping,Expense
