txn_id,date,description,amount,category
117,2026-03-01,1MG_HEALTHCARE,336.58,Health
118,2026-03-01,SPOTIFY PREMIUM,778.56,Entertainment
119,2026-03-01,RAPIDO BIKE TAXI,511.25,Transport
120,2026-03-01,SPOTIFY PREMIUM,536.83,Entertainment
121,2026-03-01,SWIGGY BANGALORE,749.92,Food & Dining
122,2026-03-04,ZEPTO INSTANT,1971.18,Groceries
123,2026-03-04,COURSERA SUBSCRIP TXN877572,11664.91,Education
124,2026-03-05,DMART RETAIL,573.11,Groceries
125,2026-03-07,1MG HEALTHCARE TXN877572,3221.71,Health
126,2026-03-07,BYJUS_LEARNING_TXN877572,4427.07,Education
127,2026-03-07,UBER TRIP HELP.UBER.COM,423.13,Transport
128,2026-03-07,UBER TRIP HELP.UBER.COM,116.69,Transport
129,2026-03-07,AJIO TRENDS*13,321.68,Shopping
130,2026-03-07,AMZN MKTP US*2K3,4820.71,Shopping
131,2026-03-08,1MG HEALTHCARE,1150.92,Health
132,2026-03-08,APOLLO PHARMACY TXN877572,2287.06,Health
133,2026-03-08,HOTSTAR DISNEY,1114.7,Entertainment
134,2026-03-08,MCDONALDS IN,826.22,Food & Dining
135,2026-03-09,STARBUCKS COFFEE,772.89,Food & Dining
136,2026-03-09,CCD CAFE COFFEE DAY,561.56,Food & Dining
137,2026-03-09,DOMINOS PIZZA,372.5,Food & Dining
138,2026-03-10,COURSERA SUBSCRIP,2183.05,Education
139,2026-03-10,AJIO TRENDS TXN877572,420.81,Shopping
140,2026-03-12,COURSERA SUBSCRIP,7628.43,Education
141,2026-03-12,PESU FEE PAYMENT,7365.34,Education
142,2026-03-12,REDBUS TICKET,4290.84,Travel
143,2026-03-13,BOOKMYSHOW EVENT,1007.38,Entertainment
144,2026-03-13,RELIANCE FRESH,444.97,Groceries
145,2026-03-14,AJIO TRENDS,538.73,Shopping
146,2026-03-14,SWIGGY BANGALORE,806.66,Food & Dining
147,2026-03-14,HOUSING RENT NEFT,8450.69,Rent & Housing
148,2026-03-14,FLIPKART INTERNET,3011.72,Shopping
149,2026-03-14,BESCOM ELECTRICITY,2368.51,Utilities
150,2026-03-15,ZEPTO  INSTANT,3375.81,Groceries
151,2026-03-15,JIO FIBER RECHARGE,2291.77,Utilities
152,2026-03-15,UBER TRIP HELP.UBER.COM TXN877572,216.42,Transport
153,2026-03-15,BIGBASKET ONLINE,521.96,Groceries
154,2026-03-15,FLIPKART INTERNET REF#2824,683.73,Shopping
155,2026-03-15,BWSSB WATER BOARD,340.09,Utilities
431,2026-03-15,NESTAWAY_PROPERTY,9111.06,Rent & Housing
156,2026-03-17,BIGBASKET ONLINE,1320.72,Groceries
157,2026-03-18,MYNTRA DESIGNS,4109.45,Shopping
158,2026-03-19,MYNTRA DESIGNS,3544.34,Shopping
159,2026-03-20,MYNTRA DESIGNS,1051.71,Shopping
160,2026-03-20,CULT FIT GYM*13,3052.34,Health
161,2026-03-20,REDBUS TICKET,16329.86,Travel
162,2026-03-20,ZOMATO ORDER,1189.56,Food & Dining
163,2026-03-21,AIRTEL POSTPAID,1951.92,Utilities
164,2026-03-21,NYKAA_FASHION,3821.81,Shopping
165,2026-03-21,FLIPKART INTERNET,694.99,Shopping
166,2026-03-21,MYNTRA DESIGNS REF#2824,4532.25,Shopping
167,2026-03-21,1MG  HEALTHCARE,2119.96,Health
168,2026-03-21,BOOKMYSHOW EVENT,5834.61,Entertainment
169,2026-03-22,MYNTRA DESIGNS,4545.83,Shopping
170,2026-03-22,BWSSB WATER BOARD,500.83,Utilities
171,2026-03-22,UBER TRIP HELP.UBER.COM,321.42,Transport
172,2026-03-23,SWIGGY  BANGALORE,461.53,Food & Dining
173,2026-03-23,DOMINOS PIZZA,839.77,Food & Dining
174,2026-03-23,FLIPKART INTERNET,3811.4,Shopping
175,2026-03-23,PESU FEE PAYMENT,11977.9,Education
176,2026-03-23,MORE SUPERMARKET,2826.78,Groceries
177,2026-03-25,BESCOM ELECTRICITY TXN877572,1508.96,Utilities
178,2026-03-26,APOLLO PHARMACY,743.37,Health
179,2026-03-26,SPOTIFY PREMIUM,1178.04,Entertainment
180,2026-03-26,BMTC BUS PASS,575.49,Transport
181,2026-03-28,HOTSTAR DISNEY,1259.51,Entertainment
182,2026-03-28,OLA  CABS  BANGALORE,650.31,Transport
183,2026-03-29,HOTSTAR DISNEY*13,1481.96,Entertainment
184,2026-03-30,AMZN MKTP US*2K3,4746.79,Shopping
185,2026-03-30,STARBUCKS COFFEE,1184.6,Food & Dining
186,2026-03-31,AMZN MKTP US*2K3,3930.31,Shopping
187,2026-03-31,CCD CAFE COFFEE DAY TXN877572,714.24,Food & Dining
188,2026-04-01,STARBUCKS COFFEE,641.89,Food & Dining
189,2026-04-01,RAPIDO BIKE TAXI,59.65,Transport
190,2026-04-02,ACT FIBERNET,561.4,Utilities
191,2026-04-04,CULT FIT GYM,3500.68,Health
192,2026-04-04,DMART RETAIL TXN877572,1015.51,Groceries
193,2026-04-04,CCD CAFE COFFEE DAY,1159.54,Food & Dining
194,2026-04-04,IRCTC RAIL TICKET,60.33,Transport
195,2026-04-04,AMZN MKTP US*2K3,4855.42,Shopping
196,2026-04-05,CCD CAFE COFFEE DAY TXN877572,1192.26,Food & Dining
197,2026-04-05,HOTSTAR DISNEY,249.63,Entertainment
198,2026-04-06,APOLLO PHARMACY,1927.26,Health
199,2026-04-06,CCD CAFE COFFEE DAY,790.31,Food & Dining
200,2026-04-06,CCD CAFE COFFEE DAY TXN877572,742.75,Food & Dining
201,2026-04-06,STARBUCKS COFFEE,1091.27,Food & Dining
202,2026-04-08,MORE SUPERMARKET,2284.42,Groceries
203,2026-04-08,NETFLIX.COM,524.46,Entertainment
204,2026-04-08,MYNTRA_DESIGNS,1102.98,Shopping
205,2026-04-09,ACT FIBERNET,471.02,Utilities
206,2026-04-09,MAKEMYTRIP BOOKING,19513.5,Travel
207,2026-04-10,PVR CINEMAS*13,1248.62,Entertainment
208,2026-04-10,STARBUCKS COFFEE,853.2,Food & Dining
209,2026-04-10,BURGER KING IND,278.88,Food & Dining
210,2026-04-11,RELIANCE FRESH,384.37,Groceries
211,2026-04-11,MYNTRA DESIGNS,2007.02,Shopping
212,2026-04-11,UDEMY COURSE PAY,12253.02,Education
213,2026-04-11,RAPIDO BIKE TAXI,889.18,Transport
214,2026-04-11,CCD CAFE COFFEE DAY,265.46,Food & Dining
215,2026-04-11,ZEPTO  INSTANT  REF#2824,2201.22,Groceries
216,2026-04-11,BURGER KING IND,518.98,Food & Dining
217,2026-04-11,HOTSTAR DISNEY,1459.38,Entertainment
218,2026-04-12,AIRBNB_STAY*13,17429.73,Travel
219,2026-04-12,HOTSTAR_DISNEY,1247.42,Entertainment
220,2026-04-12,BURGER KING IND*13,1199.69,Food & Dining
221,2026-04-12,BMTC BUS PASS,897.14,Transport
222,2026-04-12,HOUSING RENT NEFT,17442.34,Rent & Housing
223,2026-04-13,SWIGGY BANGALORE TXN877572,242.08,Food & Dining
224,2026-04-13,ACT FIBERNET REF#2824,2398.91,Utilities
225,2026-04-13,BMTC BUS PASS,565.25,Transport
226,2026-04-13,HOTSTAR DISNEY,458.67,Entertainment
227,2026-04-14,CCD CAFE COFFEE DAY TXN877572,838.73,Food & Dining
228,2026-04-14,NOBROKER RENT PAY*13,16845.23,Rent & Housing
229,2026-04-14,ZEPTO INSTANT TXN877572,2771.42,Groceries
230,2026-04-15,IRCTC RAIL TICKET,392.96,Transport
231,2026-04-15,ACT FIBERNET,594.83,Utilities
232,2026-04-15,DMART RETAIL,392.1,Groceries
233,2026-04-15,GOIBIBO FLIGHT,15347.61,Travel
234,2026-04-16,BMTC BUS PASS,165.92,Transport
235,2026-04-16,OLA CABS BANGALORE REF#2824,62.36,Transport
432,2026-04-16,NESTAWAY PROPERTY,13359.94,Rent & Housing
236,2026-04-17,NESTAWAY PROPERTY TXN877572,15437.07,Rent & Housing
237,2026-04-17,AIRBNB STAY TXN877572,18179.02,Travel
238,2026-04-18,SPOTIFY PREMIUM,1431.85,Entertainment
239,2026-04-18,BOOKMYSHOW EVENT,348.55,Entertainment
240,2026-04-18,PRACTO CONSULT*13,3721.03,Health
241,2026-04-18,UDEMY COURSE PAY*13,7635.69,Education
242,2026-04-18,AJIO TRENDS,1439.57,Shopping
243,2026-04-19,BIGBASKET ONLINE TXN877572,542.76,Groceries
244,2026-04-19,AIRBNB STAY REF#2824,3448.71,Travel
245,2026-04-19,AIRTEL POSTPAID REF#2824,581.7,Utilities
246,2026-04-19,CULT FIT GYM,2834.53,Health
247,2026-04-19,CCD_CAFE_COFFEE_DAY,252.71,Food & Dining
248,2026-04-20,ZOMATO ORDER,480.23,Food & Dining
249,2026-04-21,CULT FIT GYM,930.7,Health
250,2026-04-21,JIO FIBER RECHARGE TXN877572,389.91,Utilities
251,2026-04-21,CCD CAFE COFFEE DAY,285.83,Food & Dining
252,2026-04-22,BMTC BUS PASS,125.4,Transport
253,2026-04-24,MYNTRA DESIGNS,1948.5,Shopping
254,2026-04-25,ZEPTO INSTANT,2858.11,Groceries
255,2026-04-25,STARBUCKS COFFEE,790.69,Food & Dining
256,2026-04-26,AJIO_TRENDS,1529.01,Shopping
257,2026-04-26,BURGER KING IND,986.82,Food & Dining
258,2026-04-26,NYKAA FASHION TXN877572,3791.65,Shopping
259,2026-04-27,BIGBASKET ONLINE*13,1485.51,Groceries
260,2026-04-28,AJIO TRENDS,2420.17,Shopping
261,2026-04-28,BLINKIT GROCERY,2691.91,Groceries
262,2026-04-30,OLA_CABS_BANGALORE,502.3,Transport
263,2026-04-30,BLINKIT GROCERY TXN877572,642.95,Groceries
264,2026-04-30,PVR CINEMAS,754.01,Entertainment
265,2026-05-01,UDEMY COURSE PAY,4404.03,Education
266,2026-05-02,COURSERA SUBSCRIP,5170.15,Education
267,2026-05-03,ZEPTO INSTANT,3149.69,Groceries
268,2026-05-03,DOMINOS PIZZA,752.95,Food & Dining
269,2026-05-04,RAPIDO BIKE TAXI,506.54,Transport
270,2026-05-04,BOOKMYSHOW EVENT,942.24,Entertainment
271,2026-05-04,RELIANCE FRESH,2685.41,Groceries
272,2026-05-05,AMZN MKTP US*2K3,1562.12,Shopping
273,2026-05-06,AMZN MKTP US*2K3,1909.26,Shopping
274,2026-05-06,MORE SUPERMARKET,3456.85,Groceries
275,2026-05-07,HOTSTAR DISNEY REF#2824,356.36,Entertainment
276,2026-05-07,NETFLIX.COM,482.04,Entertainment
277,2026-05-08,BMTC BUS PASS,292.33,Transport
278,2026-05-09,AJIO_TRENDS,2717.65,Shopping
279,2026-05-09,NYKAA FASHION*13,2169.9,Shopping
280,2026-05-10,OLA CABS BANGALORE,269.22,Transport
281,2026-05-10,MYNTRA DESIGNS REF#2824,1020.26,Shopping
282,2026-05-10,PESU FEE PAYMENT,10195.33,Education
283,2026-05-10,MCDONALDS IN,1122.31,Food & Dining
284,2026-05-10,COURSERA SUBSCRIP,8573.06,Education
285,2026-05-11,APOLLO PHARMACY,910.77,Health
286,2026-05-11,DMART RETAIL,1335.77,Groceries
287,2026-05-12,IRCTC RAIL TICKET,147.61,Transport
288,2026-05-12,BIGBASKET ONLINE,2253.98,Groceries
289,2026-05-13,DMART RETAIL,1839.65,Groceries
290,2026-05-13,RELIANCE FRESH,2004.29,Groceries
291,2026-05-15,BIGBASKET  ONLINE,502.8,Groceries
292,2026-05-16,NYKAA FASHION TXN877572,2463.57,Shopping
293,2026-05-16,BLINKIT GROCERY*13,1617.89,Groceries
294,2026-05-16,MYNTRA DESIGNS TXN877572,1874.57,Shopping
295,2026-05-16,GOIBIBO_FLIGHT,18661.05,Travel
296,2026-05-16,CULT FIT GYM,3356.35,Health
297,2026-05-16,NESTAWAY PROPERTY,24405.46,Rent & Housing
433,2026-05-16,NOBROKER RENT PAY,17171.35,Rent & Housing
298,2026-05-17,OLA CABS BANGALORE,106.52,Transport
299,2026-05-17,BMTC BUS PASS,679.95,Transport
300,2026-05-17,PVR CINEMAS,925.54,Entertainment
301,2026-05-18,NYKAA_FASHION,4017.28,Shopping
302,2026-05-19,FLIPKART INTERNET,988.48,Shopping
303,2026-05-20,NYKAA FASHION,4410.56,Shopping
304,2026-05-20,NYKAA_FASHION,2083.74,Shopping
305,2026-05-20,AIRBNB STAY,16515.39,Travel
306,2026-05-21,GOIBIBO FLIGHT,6726.18,Travel
307,2026-05-21,RAPIDO BIKE TAXI,685.47,Transport
308,2026-05-22,AIRTEL POSTPAID,2279.06,Utilities
309,2026-05-23,STARBUCKS COFFEE,1133.82,Food & Dining
310,2026-05-23,ZOMATO ORDER,790.48,Food & Dining
311,2026-05-23,IRCTC RAIL TICKET,334.67,Transport
312,2026-05-23,JIO FIBER RECHARGE,606.4,Utilities
313,2026-05-24,MORE SUPERMARKET,1297.51,Groceries
314,2026-05-24,NYKAA FASHION*13,1392.75,Shopping
315,2026-05-24,HOUSING RENT NEFT,20647.09,Rent & Housing
316,2026-05-24,ZEPTO INSTANT,407.3,Groceries
317,2026-05-24,FLIPKART INTERNET,2935.47,Shopping
318,2026-05-25,CCD CAFE COFFEE DAY,1031.1,Food & Dining
319,2026-05-25,BIGBASKET ONLINE,707.96,Groceries
320,2026-05-25,STARBUCKS COFFEE,537.02,Food & Dining
321,2026-05-25,FLIPKART INTERNET,4027.02,Shopping
322,2026-05-26,STARBUCKS COFFEE,894.48,Food & Dining
323,2026-05-27,COURSERA SUBSCRIP,5512.59,Education
324,2026-05-27,REDBUS TICKET TXN877572,4450.36,Travel
325,2026-05-27,BIGBASKET ONLINE,3207.04,Groceries
326,2026-05-27,RELIANCE FRESH,2166.85,Groceries
327,2026-05-28,MYNTRA DESIGNS,3013.9,Shopping
328,2026-05-28,AIRTEL POSTPAID,1412.96,Utilities
329,2026-05-28,SPOTIFY PREMIUM,975.46,Entertainment
330,2026-05-30,AMZN MKTP US*2K3,3112.23,Shopping
331,2026-05-30,DMART RETAIL,1657.22,Groceries
332,2026-05-30,PESU FEE PAYMENT,11178.44,Education
333,2026-05-30,ZEPTO INSTANT,3289.97,Groceries
334,2026-05-30,PESU FEE PAYMENT,13920.74,Education
335,2026-05-30,DMART RETAIL TXN877572,1742.69,Groceries
336,2026-05-30,NYKAA FASHION,743.54,Shopping
337,2026-05-31,HOTSTAR DISNEY,688.65,Entertainment
338,2026-05-31,UDEMY COURSE PAY,1294.04,Education
339,2026-05-31,OLA CABS BANGALORE,334.92,Transport
340,2026-05-31,BWSSB WATER BOARD,2066.28,Utilities
341,2026-05-31,DOMINOS PIZZA,105.1,Food & Dining
342,2026-05-31,BIGBASKET  ONLINE  TXN877572,1367.2,Groceries
343,2026-06-01,MCDONALDS  IN,481.65,Food & Dining
344,2026-06-01,MYNTRA DESIGNS TXN877572,3740.01,Shopping
345,2026-06-01,BWSSB WATER BOARD,1294.88,Utilities
346,2026-06-02,HOUSING RENT NEFT,10394.57,Rent & Housing
347,2026-06-03,JIO FIBER RECHARGE,1221.64,Utilities
348,2026-06-04,SPOTIFY PREMIUM,167.68,Entertainment
349,2026-06-04,BWSSB WATER BOARD,1759.78,Utilities
350,2026-06-04,ZOMATO ORDER,295.84,Food & Dining
351,2026-06-05,UDEMY  COURSE  PAY  REF#2824,1737.57,Education
352,2026-06-05,BESCOM ELECTRICITY,2493.12,Utilities
353,2026-06-06,BURGER KING IND,924.96,Food & Dining
354,2026-06-06,PESU FEE PAYMENT,3543.63,Education
355,2026-06-07,DMART RETAIL,1810.61,Groceries
356,2026-06-07,COURSERA_SUBSCRIP,8690.2,Education
357,2026-06-07,ACT FIBERNET,444.56,Utilities
358,2026-06-08,STARBUCKS COFFEE TXN877572,540.84,Food & Dining
359,2026-06-08,DOMINOS PIZZA,715.6,Food & Dining
360,2026-06-08,ZOMATO ORDER*13,270.76,Food & Dining
361,2026-06-09,APOLLO PHARMACY,1228.83,Health
362,2026-06-09,ACT FIBERNET,1716.8,Utilities
363,2026-06-09,HOTSTAR DISNEY,701.79,Entertainment
364,2026-06-11,UDEMY COURSE PAY,10054.4,Education
365,2026-06-13,REDBUS TICKET,2978.06,Travel
366,2026-06-13,MORE SUPERMARKET,2859.73,Groceries
367,2026-06-13,BLINKIT GROCERY,871.34,Groceries
368,2026-06-14,PVR CINEMAS,478.28,Entertainment
369,2026-06-14,DMART RETAIL,2611.25,Groceries
370,2026-06-15,FLIPKART INTERNET,1607.11,Shopping
371,2026-06-15,MYNTRA DESIGNS,4502.41,Shopping
372,2026-06-15,BOOKMYSHOW EVENT,167.55,Entertainment
373,2026-06-15,OLA CABS BANGALORE,122.68,Transport
374,2026-06-16,APOLLO PHARMACY,889.45,Health
434,2026-06-16,NESTAWAY PROPERTY,21442.29,Rent & Housing
375,2026-06-17,ZEPTO INSTANT REF#2824,1130.15,Groceries
376,2026-06-17,BMTC BUS PASS,372.74,Transport
377,2026-06-17,STARBUCKS COFFEE,749.32,Food & Dining
378,2026-06-17,BWSSB  WATER  BOARD  REF#2824,889.74,Utilities
379,2026-06-18,IRCTC RAIL TICKET*13,300.3,Transport
380,2026-06-18,NYKAA FASHION,4752.58,Shopping
381,2026-06-18,APOLLO PHARMACY,3101.7,Health
382,2026-06-19,OLA CABS BANGALORE,464.32,Transport
383,2026-06-20,UBER TRIP HELP.UBER.COM,278.38,Transport
384,2026-06-20,ACT FIBERNET TXN877572,1491.6,Utilities
385,2026-06-20,BLINKIT GROCERY,2327.13,Groceries
386,2026-06-21,ZOMATO ORDER,1182.84,Food & Dining
387,2026-06-21,PESU FEE PAYMENT,8122.51,Education
388,2026-06-22,ACT FIBERNET,340.46,Utilities
389,2026-06-23,BESCOM ELECTRICITY,1568.34,Utilities
390,2026-06-24,BIGBASKET ONLINE,2955.17,Groceries
391,2026-06-24,AIRBNB STAY,4922.0,Travel
392,2026-06-26,BLINKIT GROCERY,3096.45,Groceries
393,2026-06-27,STARBUCKS COFFEE,521.45,Food & Dining
394,2026-06-27,CCD CAFE COFFEE DAY,670.81,Food & Dining
395,2026-06-27,MCDONALDS IN,151.66,Food & Dining
396,2026-06-27,DOMINOS PIZZA,282.91,Food & Dining
397,2026-06-27,BIGBASKET ONLINE,2661.71,Groceries
398,2026-06-28,RELIANCE FRESH,1545.75,Groceries
399,2026-06-28,BLINKIT GROCERY,1223.82,Groceries
400,2026-06-29,DMART RETAIL,2112.49,Groceries
401,2026-06-29,PVR CINEMAS,792.67,Entertainment
402,2026-06-30,RAPIDO_BIKE_TAXI,76.51,Transport
403,2026-06-30,IRCTC RAIL TICKET,272.92,Transport
404,2026-06-30,GOIBIBO FLIGHT,12306.48,Travel
405,2026-07-02,RELIANCE FRESH*13,2766.92,Groceries
406,2026-07-02,OLA CABS BANGALORE,140.61,Transport
407,2026-07-04,STARBUCKS COFFEE,1001.01,Food & Dining
408,2026-07-04,RAPIDO BIKE TAXI,729.5,Transport
409,2026-07-04,CULT FIT GYM TXN877572,2839.85,Health
410,2026-07-04,DOMINOS PIZZA TXN877572,399.36,Food & Dining
411,2026-07-05,NYKAA FASHION,4603.11,Shopping
412,2026-07-05,NESTAWAY  PROPERTY,10325.92,Rent & Housing
413,2026-07-06,ZEPTO INSTANT,2034.08,Groceries
414,2026-07-06,MYNTRA  DESIGNS  TXN877572,4390.14,Shopping
439,2026-07-06,BURGER KING IND,1063.07,Food & Dining
415,2026-07-07,NYKAA FASHION,2549.24,Shopping
416,2026-07-07,ACT  FIBERNET,786.66,Utilities
417,2026-07-07,UDEMY COURSE PAY,14821.19,Education
418,2026-07-07,DMART RETAIL,3320.99,Groceries
419,2026-07-07,JIO FIBER RECHARGE,386.74,Utilities
420,2026-07-08,APOLLO PHARMACY,2358.19,Health
421,2026-07-08,IRCTC RAIL TICKET,828.17,Transport
436,2026-07-08,SWIGGY BANGALORE*13,1338.12,Food & Dining
438,2026-07-08,BURGER KING IND,1331.1,Food & Dining
437,2026-07-09,STARBUCKS  COFFEE,1520.18,Food & Dining
422,2026-07-10,OLA CABS BANGALORE,782.74,Transport
423,2026-07-10,AJIO TRENDS TXN877572,4253.84,Shopping
424,2026-07-10,BESCOM ELECTRICITY,1002.02,Utilities
425,2026-07-10,RELIANCE FRESH,2952.53,Groceries
